epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2551,1.67977,4.58065,2.09704,0.82453,1,0.995,0.84707,0.57989,9.15544,1.43774,2e-05,2e-05,2e-05
2,93.3176,1.1021,6.98003,1.50153,0.98182,1,0.995,0.88533,0.54164,7.83711,1.35846,5.901e-05,5.901e-05,5.901e-05
3,117.91,0.92145,5.05107,1.18864,0.93975,1,0.995,0.86353,0.52495,8.14038,1.37128,9.67e-05,9.67e-05,9.67e-05
4,143.113,1.17365,4.33582,1.851,0.9907,1,0.995,0.56378,1.01444,9.02249,1.81104,0.00013307,0.00013307,0.00013307
5,170.179,1.42505,4.37827,1.93975,1,0.98625,0.995,0.32764,1.80362,9.66484,2.83385,0.00016812,0.00016812,0.00016812
6,194.581,1.13683,4.02361,1.84674,0.99416,1,0.995,0.53518,1.68897,7.40303,2.54477,0.00020185,0.00020185,0.00020185
7,218.343,0.80346,2.57281,1.34768,0.958,1,0.995,0.64852,1.16546,6.71796,1.88201,0.00023426,0.00023426,0.00023426
8,243.546,1.59272,3.07544,1.57553,0.95882,0.8,0.93786,0.37169,1.78488,9.80537,2.78746,0.00026535,0.00026535,0.00026535
9,275.072,1.28341,3.81575,1.59402,0.92722,0.8,0.93786,0.30006,2.16137,9.53031,3.28901,0.00029512,0.00029512,0.00029512
10,304.138,1.34439,3.47845,1.6817,0.77415,0.8,0.795,0.26383,2.37955,12.0145,4.12596,0.00032357,0.00032357,0.00032357
11,359.203,0.94726,2.09226,1.40516,1,0.77835,0.81461,0.28508,2.23621,10.033,4.642,0.0003507,0.0003507,0.0003507
12,392.565,0.9481,2.60873,1.47025,1,0.78412,0.87833,0.34871,2.16677,11.3186,4.32161,0.00037651,0.00037651,0.00037651
13,417.506,1.64201,2.96677,2.50964,0.99575,1,0.995,0.29291,2.44286,11.1904,4.48579,0.000401,0.000401,0.000401
14,447.61,1.04327,1.69798,1.39234,0.38224,0.74673,0.47905,0.1506,2.30932,10.0939,3.98172,0.00042417,0.00042417,0.00042417
15,481.777,0.88022,1.86738,1.31475,0.36865,0.6,0.3329,0.14048,2.09057,10.5139,3.25305,0.00044602,0.00044602,0.00044602
16,505.23,0.93047,2.0995,1.3417,0.44285,0.2,0.30759,0.14777,2.05417,9.67864,3.13187,0.00046655,0.00046655,0.00046655
17,531.664,1.24505,1.95103,1.39573,0.94921,0.4,0.47949,0.22718,2.32522,9.92251,4.42178,0.00048576,0.00048576,0.00048576
18,564.252,1.14494,1.4616,1.50245,0.31052,0.6,0.23671,0.03133,3.19072,13.1899,6.8501,0.00050365,0.00050365,0.00050365
19,604.653,1.6912,2.12171,1.72672,0.04474,0.4,0.04564,0.00688,3.69618,13.1787,7.94507,0.00052022,0.00052022,0.00052022
20,638.545,1.49471,2.6038,2.02759,0.28818,0.6,0.23165,0.05162,3.07289,12.4533,5.96796,0.00053547,0.00053547,0.00053547
21,686.529,1.25929,1.39119,1.51103,0.33092,0.6,0.35016,0.12615,2.36806,8.97685,4.81639,0.0005494,0.0005494,0.0005494
22,723.528,1.67639,2.07018,1.76895,0.334,0.8,0.32551,0.11604,2.24972,5.42947,4.71116,0.00056201,0.00056201,0.00056201
23,763.383,1.09898,1.05062,1.49182,0.24894,0.6,0.23167,0.13035,2.33963,6.05361,4.64345,0.0005733,0.0005733,0.0005733
24,788.494,0.87236,1.14072,1.33778,0.38794,0.8,0.48861,0.22365,2.08674,7.41303,4.04949,0.00058327,0.00058327,0.00058327
25,813.877,1.03548,1.48818,1.50125,0.77272,0.8,0.67528,0.40514,1.69211,7.28605,3.76307,0.00059192,0.00059192,0.00059192
26,842.522,2.27639,2.51875,2.24617,0.44914,0.8,0.45728,0.26372,1.6757,5.04481,3.64895,0.00059925,0.00059925,0.00059925
27,879.572,1.18414,2.18861,1.61456,0.66515,0.79544,0.62861,0.43324,1.29645,3.76289,3.1552,0.00060526,0.00060526,0.00060526
28,924.238,1.65747,1.7832,1.78918,0.66515,0.79544,0.62861,0.43324,1.29645,3.76289,3.1552,0.00060995,0.00060995,0.00060995
29,968.954,1.32352,1.18114,1.63388,0.76892,0.8,0.75528,0.50046,1.69141,3.12613,3.24863,0.00061332,0.00061332,0.00061332
30,1013.42,1.2555,1.52508,1.44276,0.76335,0.8,0.63628,0.37941,1.5329,3.65493,3.45259,0.00061537,0.00061537,0.00061537
31,1051.74,1.08639,1.22626,1.59992,0.76335,0.8,0.63628,0.37941,1.5329,3.65493,3.45259,0.0006161,0.0006161,0.0006161
32,1080.49,1.5764,2.09322,2.0318,0.7469,0.8,0.63628,0.38962,1.65552,4.79934,3.61925,0.00061551,0.00061551,0.00061551
33,1106.22,1.23013,1.34639,1.4549,0.56599,0.6,0.5229,0.22563,2.29116,5.18298,4.88161,0.0006136,0.0006136,0.0006136
34,1130.04,1.87547,2.48031,2.10106,0.56599,0.6,0.5229,0.22563,2.29116,5.18298,4.88161,0.00061037,0.00061037,0.00061037
35,1153.35,1.45535,1.06066,1.55828,0.60786,0.4,0.39541,0.18251,3.00294,5.97047,9.85967,0.00060582,0.00060582,0.00060582
36,1175.85,1.24132,1.24156,1.42911,0.11635,0.6,0.09291,0.02721,2.76798,10.2064,15.7814,0.00059995,0.00059995,0.00059995
37,1198.51,1.06733,1.39328,1.3959,0.11635,0.6,0.09291,0.02721,2.76798,10.2064,15.7814,0.00059276,0.00059276,0.00059276
38,1220.97,1.4772,1.31026,1.92296,0.04573,0.4,0.01878,0.00659,3.34053,21.8804,12.3874,0.00058425,0.00058425,0.00058425
39,1244.35,1.04587,1.22954,1.5123,0.08154,0.6,0.0597,0.02925,2.00991,8.61442,3.36112,0.00057442,0.00057442,0.00057442
40,1266.4,1.04461,1.02541,1.27582,0.08154,0.6,0.0597,0.02925,2.00991,8.61442,3.36112,0.00056327,0.00056327,0.00056327
41,1289.6,1.63756,1.50044,1.94249,0.54614,0.8,0.5629,0.19769,2.17864,3.72964,3.55417,0.0005508,0.0005508,0.0005508
